time,airTemperature_noaa,airTemperature_sg,location
2018-08-24T15:00:00+00:00,27.07,27.07,WIL
2018-08-24T16:00:00+00:00,27.63,27.63,WIL
2018-08-24T17:00:00+00:00,28.19,28.19,WIL
2018-08-24T18:00:00+00:00,28.75,28.75,WIL
2018-08-24T19:00:00+00:00,28.38,28.38,WIL
2018-08-24T20:00:00+00:00,28.02,28.02,WIL
2018-08-24T21:00:00+00:00,27.65,27.65,WIL
2018-08-24T22:00:00+00:00,26.85,26.85,WIL
2018-08-24T23:00:00+00:00,26.05,26.05,WIL
2018-08-25T00:00:00+00:00,25.25,25.25,WIL
2018-08-25T01:00:00+00:00,24.98,24.98,WIL
2018-08-25T02:00:00+00:00,24.72,24.72,WIL
2018-08-25T03:00:00+00:00,24.45,24.45,WIL
2018-08-25T04:00:00+00:00,24.14,24.14,WIL
2018-08-25T05:00:00+00:00,23.83,23.83,WIL
2018-08-25T06:00:00+00:00,23.53,23.53,WIL
2018-08-25T07:00:00+00:00,23.27,23.27,WIL
2018-08-25T08:00:00+00:00,23.01,23.01,WIL
2018-08-25T09:00:00+00:00,22.75,22.75,WIL
2018-08-25T10:00:00+00:00,22.84,22.84,WIL
2018-08-25T11:00:00+00:00,22.93,22.93,WIL
2018-08-25T12:00:00+00:00,23.02,23.02,WIL
2018-08-25T13:00:00+00:00,24.46,24.46,WIL
2018-08-25T14:00:00+00:00,25.91,25.91,WIL
2018-08-25T15:00:00+00:00,27.35,27.35,WIL
2018-08-25T16:00:00+00:00,28.47,28.47,WIL
2018-08-25T17:00:00+00:00,29.6,29.6,WIL
2018-08-25T18:00:00+00:00,30.72,30.72,WIL
2018-08-25T19:00:00+00:00,30.35,30.35,WIL
2018-08-25T20:00:00+00:00,29.98,29.98,WIL
2018-08-25T21:00:00+00:00,29.62,29.62,WIL
2018-08-25T22:00:00+00:00,28.34,28.34,WIL
2018-08-25T23:00:00+00:00,27.06,27.06,WIL
2018-08-26T00:00:00+00:00,25.78,25.78,WIL
2018-08-26T01:00:00+00:00,25.34,25.34,WIL
2018-08-26T02:00:00+00:00,24.89,24.89,WIL
2018-08-26T03:00:00+00:00,24.45,24.45,WIL
2018-08-26T04:00:00+00:00,24.52,24.52,WIL
2018-08-26T05:00:00+00:00,24.59,24.59,WIL
2018-08-26T06:00:00+00:00,24.66,24.66,WIL
2018-08-26T07:00:00+00:00,24.09,24.09,WIL
2018-08-26T08:00:00+00:00,23.52,23.52,WIL
2018-08-26T09:00:00+00:00,22.95,22.95,WIL
2018-08-26T10:00:00+00:00,23.46,23.46,WIL
2018-08-26T11:00:00+00:00,23.96,23.96,WIL
2018-08-26T12:00:00+00:00,24.47,24.47,WIL
2018-08-26T13:00:00+00:00,26.16,26.16,WIL
2018-08-26T14:00:00+00:00,27.86,27.86,WIL
2018-08-26T15:00:00+00:00,29.55,29.55,WIL
2018-08-26T16:00:00+00:00,30.25,30.25,WIL
2018-08-26T17:00:00+00:00,30.95,30.95,WIL
2018-08-26T18:00:00+00:00,31.65,31.65,WIL
2018-08-26T19:00:00+00:00,31.12,31.12,WIL
2018-08-26T20:00:00+00:00,30.58,30.58,WIL
2018-08-26T21:00:00+00:00,30.05,30.05,WIL
2018-08-26T22:00:00+00:00,28.56,28.56,WIL
2018-08-26T23:00:00+00:00,27.07,27.07,WIL
2018-08-27T00:00:00+00:00,25.58,25.58,WIL
2018-08-27T01:00:00+00:00,25.24,25.24,WIL
2018-08-27T02:00:00+00:00,24.9,24.9,WIL
2018-08-27T03:00:00+00:00,24.56,24.56,WIL
2018-08-27T04:00:00+00:00,24.37,24.37,WIL
2018-08-27T05:00:00+00:00,24.18,24.18,WIL
2018-08-27T06:00:00+00:00,23.99,23.99,WIL
2018-08-27T07:00:00+00:00,23.78,23.78,WIL
2018-08-27T08:00:00+00:00,23.58,23.58,WIL
2018-08-27T09:00:00+00:00,23.37,23.37,WIL
2018-08-27T10:00:00+00:00,23.7,23.7,WIL
2018-08-27T11:00:00+00:00,24.02,24.02,WIL
2018-08-27T12:00:00+00:00,24.35,24.35,WIL
2018-08-27T13:00:00+00:00,26.81,26.81,WIL
2018-08-27T14:00:00+00:00,29.28,29.28,WIL
2018-08-27T15:00:00+00:00,31.74,31.74,WIL
2018-08-27T16:00:00+00:00,31.9,31.9,WIL
2018-08-27T17:00:00+00:00,32.06,32.06,WIL
2018-08-27T18:00:00+00:00,32.22,32.22,WIL
2018-08-27T19:00:00+00:00,31.57,31.57,WIL
2018-08-27T20:00:00+00:00,30.92,30.92,WIL
2018-08-27T21:00:00+00:00,30.27,30.27,WIL
2018-08-27T22:00:00+00:00,28.89,28.89,WIL
2018-08-27T23:00:00+00:00,27.52,27.52,WIL
2018-08-28T00:00:00+00:00,26.15,26.15,WIL
2018-08-28T01:00:00+00:00,25.93,25.93,WIL
2018-08-28T02:00:00+00:00,25.71,25.71,WIL
2018-08-28T03:00:00+00:00,25.49,25.49,WIL
2018-08-28T04:00:00+00:00,25.28,25.28,WIL
2018-08-28T05:00:00+00:00,25.06,25.06,WIL
2018-08-28T06:00:00+00:00,24.85,24.85,WIL
2018-08-28T07:00:00+00:00,24.67,24.67,WIL
2018-08-28T08:00:00+00:00,24.49,24.49,WIL
2018-08-28T09:00:00+00:00,24.31,24.31,WIL
2018-08-28T10:00:00+00:00,24.65,24.65,WIL
2018-08-28T11:00:00+00:00,24.98,24.98,WIL
2018-08-28T12:00:00+00:00,25.32,25.32,WIL
2018-08-28T13:00:00+00:00,27.18,27.18,WIL
2018-08-28T14:00:00+00:00,29.04,29.04,WIL
2018-08-28T15:00:00+00:00,30.9,30.9,WIL
2018-08-28T16:00:00+00:00,30.41,30.41,WIL
2018-08-28T17:00:00+00:00,29.92,29.92,WIL
2018-08-28T18:00:00+00:00,29.43,29.43,WIL
2018-08-28T19:00:00+00:00,29.67,29.67,WIL
2018-08-28T20:00:00+00:00,29.9,29.9,WIL
2018-08-28T21:00:00+00:00,30.13,30.13,WIL
2018-08-28T22:00:00+00:00,29.03,29.03,WIL
2018-08-28T23:00:00+00:00,27.92,27.92,WIL
2018-08-29T00:00:00+00:00,26.81,26.81,WIL
2018-08-29T01:00:00+00:00,26.54,26.54,WIL
2018-08-29T02:00:00+00:00,26.27,26.27,WIL
2018-08-29T03:00:00+00:00,26,26,WIL
2018-08-29T04:00:00+00:00,25.86,25.86,WIL
2018-08-29T05:00:00+00:00,25.73,25.73,WIL
2018-08-29T06:00:00+00:00,25.6,25.6,WIL
2018-08-29T07:00:00+00:00,25.45,25.45,WIL
2018-08-29T08:00:00+00:00,25.31,25.31,WIL
2018-08-29T09:00:00+00:00,25.17,25.17,WIL
2018-08-29T10:00:00+00:00,25.57,25.57,WIL
2018-08-29T11:00:00+00:00,25.97,25.97,WIL
2018-08-29T12:00:00+00:00,26.36,26.36,WIL
2018-08-29T13:00:00+00:00,27.65,27.65,WIL
2018-08-29T14:00:00+00:00,28.93,28.93,WIL
2018-08-29T15:00:00+00:00,30.21,30.21,WIL
2018-08-29T16:00:00+00:00,30.66,30.66,WIL
2018-08-29T17:00:00+00:00,31.12,31.12,WIL
2018-08-29T18:00:00+00:00,31.57,31.57,WIL
2018-08-29T19:00:00+00:00,31.16,31.16,WIL
2018-08-29T20:00:00+00:00,30.75,30.75,WIL
2018-08-29T21:00:00+00:00,30.34,30.34,WIL
2018-08-29T22:00:00+00:00,29.24,29.24,WIL
2018-08-29T23:00:00+00:00,28.15,28.15,WIL
2018-08-30T00:00:00+00:00,27.05,27.05,WIL
2018-08-30T01:00:00+00:00,26.85,26.85,WIL
2018-08-30T02:00:00+00:00,26.66,26.66,WIL
2018-08-30T03:00:00+00:00,26.46,26.46,WIL
2018-08-30T04:00:00+00:00,26.36,26.36,WIL
2018-08-30T05:00:00+00:00,26.25,26.25,WIL
2018-08-30T06:00:00+00:00,26.15,26.15,WIL
2018-08-30T07:00:00+00:00,25.93,25.93,WIL
2018-08-30T08:00:00+00:00,25.71,25.71,WIL
2018-08-30T09:00:00+00:00,25.49,25.49,WIL
2018-08-30T10:00:00+00:00,25.86,25.86,WIL
2018-08-30T11:00:00+00:00,26.24,26.24,WIL
2018-08-30T12:00:00+00:00,26.61,26.61,WIL
2018-08-30T13:00:00+00:00,27.81,27.81,WIL
2018-08-30T14:00:00+00:00,29.01,29.01,WIL
2018-08-30T15:00:00+00:00,30.21,30.21,WIL
2018-08-30T16:00:00+00:00,30.68,30.68,WIL
2018-08-30T17:00:00+00:00,31.16,31.16,WIL
2018-08-30T18:00:00+00:00,31.63,31.63,WIL
2018-08-30T19:00:00+00:00,31.2,31.2,WIL
2018-08-30T20:00:00+00:00,30.77,30.77,WIL
2018-08-30T21:00:00+00:00,30.35,30.35,WIL
2018-08-30T22:00:00+00:00,29.12,29.12,WIL
2018-08-30T23:00:00+00:00,27.9,27.9,WIL
2018-08-31T00:00:00+00:00,26.68,26.68,WIL
2018-08-31T01:00:00+00:00,26.52,26.52,WIL
2018-08-31T02:00:00+00:00,26.35,26.35,WIL
2018-08-31T03:00:00+00:00,26.18,26.18,WIL
2018-08-31T04:00:00+00:00,26.02,26.02,WIL
2018-08-31T05:00:00+00:00,25.85,25.85,WIL
2018-08-31T06:00:00+00:00,25.69,25.69,WIL
2018-08-31T07:00:00+00:00,25.59,25.59,WIL
2018-08-31T08:00:00+00:00,25.5,25.5,WIL
2018-08-31T09:00:00+00:00,25.4,25.4,WIL
2018-08-31T10:00:00+00:00,25.82,25.82,WIL
2018-08-31T11:00:00+00:00,26.23,26.23,WIL
2018-08-31T12:00:00+00:00,26.65,26.65,WIL
2018-08-31T13:00:00+00:00,28.01,28.01,WIL
2018-08-31T14:00:00+00:00,29.36,29.36,WIL
2018-08-31T15:00:00+00:00,30.72,30.72,WIL
2018-08-31T16:00:00+00:00,30.93,30.93,WIL
2018-08-31T17:00:00+00:00,31.14,31.14,WIL
2018-08-31T18:00:00+00:00,31.35,31.35,WIL
2018-08-31T19:00:00+00:00,30.97,30.97,WIL
2018-08-31T20:00:00+00:00,30.59,30.59,WIL
2018-08-31T21:00:00+00:00,30.22,30.22,WIL
2018-08-31T22:00:00+00:00,29.13,29.13,WIL
2018-08-31T23:00:00+00:00,28.04,28.04,WIL
2018-09-01T00:00:00+00:00,26.95,26.95,WIL
2018-09-01T01:00:00+00:00,26.65,26.65,WIL
2018-09-01T02:00:00+00:00,26.35,26.35,WIL
2018-09-01T03:00:00+00:00,26.05,26.05,WIL
2018-09-01T04:00:00+00:00,25.92,25.92,WIL
2018-09-01T05:00:00+00:00,25.78,25.78,WIL
2018-09-01T06:00:00+00:00,25.65,25.65,WIL
2018-09-01T07:00:00+00:00,25.55,25.55,WIL
2018-09-01T08:00:00+00:00,25.45,25.45,WIL
2018-09-01T09:00:00+00:00,25.35,25.35,WIL
2018-09-01T10:00:00+00:00,25.78,25.78,WIL
2018-09-01T11:00:00+00:00,26.22,26.22,WIL
2018-09-01T12:00:00+00:00,26.65,26.65,WIL
2018-09-01T13:00:00+00:00,27.89,27.89,WIL
2018-09-01T14:00:00+00:00,29.14,29.14,WIL
2018-09-01T15:00:00+00:00,30.38,30.38,WIL
2018-09-01T16:00:00+00:00,30.65,30.65,WIL
2018-09-01T17:00:00+00:00,30.91,30.91,WIL
2018-09-01T18:00:00+00:00,31.17,31.17,WIL
2018-09-01T19:00:00+00:00,30.83,30.83,WIL
2018-09-01T20:00:00+00:00,30.49,30.49,WIL
2018-09-01T21:00:00+00:00,30.15,30.15,WIL
2018-09-01T22:00:00+00:00,28.9,28.9,WIL
2018-09-01T23:00:00+00:00,27.64,27.64,WIL
2018-09-02T00:00:00+00:00,26.39,26.39,WIL
2018-09-02T01:00:00+00:00,26.19,26.19,WIL
2018-09-02T02:00:00+00:00,25.99,25.99,WIL
2018-09-02T03:00:00+00:00,25.79,25.79,WIL
2018-09-02T04:00:00+00:00,25.72,25.72,WIL
2018-09-02T05:00:00+00:00,25.65,25.65,WIL
2018-09-02T06:00:00+00:00,25.59,25.59,WIL
2018-09-02T07:00:00+00:00,25.22,25.22,WIL
2018-09-02T08:00:00+00:00,24.85,24.85,WIL
2018-09-02T09:00:00+00:00,24.49,24.49,WIL
2018-09-02T10:00:00+00:00,24.83,24.83,WIL
2018-09-02T11:00:00+00:00,25.18,25.18,WIL
2018-09-02T12:00:00+00:00,25.52,25.52,WIL
2018-09-02T13:00:00+00:00,26.82,26.82,WIL
2018-09-02T14:00:00+00:00,28.12,28.12,WIL
2018-09-02T15:00:00+00:00,29.41,29.41,WIL
2018-09-02T16:00:00+00:00,29.73,29.73,WIL
2018-09-02T17:00:00+00:00,30.04,30.04,WIL
2018-09-02T18:00:00+00:00,30.35,30.35,WIL
2018-09-02T19:00:00+00:00,29.88,29.88,WIL
2018-09-02T20:00:00+00:00,29.42,29.42,WIL
2018-09-02T21:00:00+00:00,28.95,28.95,WIL
2018-09-02T22:00:00+00:00,28.15,28.15,WIL
2018-09-02T23:00:00+00:00,27.35,27.35,WIL
2018-09-03T00:00:00+00:00,26.55,26.55,WIL
